Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,2,85,#YY92V009P,1,#YY92V009P,văn tú,15
2,#Y2YQ8P0Q9,lunatic,15,3,100,#Q2PJP8VYQ,2,#Q2PJP8VYQ,❤️Dương•Đz❤️,15
3,#GC22C0G2,Raven,14,3,100,#QRJPR9R0V,3,#QRJPR9R0V,odenmomo,14
4,#202PU202,Brian,14,3,100,#9UU2Q8GYL,4,#9UU2Q8GYL,Cậu.Út Lỳ.6,14
8,#LL292PRC0,yishun,15,3,100,#LPR9JGJPL,5,#LPR9JGJPL,ミ★tuͥ�ͣ�ͫn★彡,13
9,#20VJ9V0UY,3Hours,13,3,100,#QQVPJG9P0,6,#QQVPJG9P0,gg mẹ đi,13
10,#RP99QCPG,Shinikigami,13,3,100,#PLRYUYP09,7,#PLRYUYP09,CHIM 35CM,13
11,#QCP0PPYU,我家MYHOUSE,13,3,100,#LLYVLVJPG,8,#LLYVLVJPG,Destroy,13
12,#JV09YLLV,SacredX,13,3,100,#20YGU8GUJ,9,#20YGU8GUJ,clasher360,12
14,#2RYGYL9G,Podeido,12,3,100,#YJG2J90J2,10,#YJG2J90J2,Trưởng bịp,12
15,#QCJVJRUCJ,Mr. Tess,12,2,98,#QJ2YP9RY0,13,#QJ2YP9RY0,nông dân vippro,12
16,#G82CYGJU8,harbourfront,12,2,90,#QL8CJ29LY,15,#QL8CJ29LY,SangPao,12
20,#8CJ9Y2RJU,RaveN,12,3,100,#QJRJ289RG,16,#QJRJ289RG,Cậu Bé Hốt Hền,12
21,#G8CCCG0Q9,woofwentdog,12,3,100,#QJRJ22RU2,18,#QJRJ22RU2,Hùng~LUXURY,11
27,#U8VRJYUC,seasaurus,12,3,100,#LRU92JGR8,19,#LRU92JGR8,Quý•cute,10
