Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,2,83,#L8YG82YPL,1,#L8YG82YPL,burdas,15
2,#Y2YQ8P0Q9,lunatic,15,2,99,#YRGUQP9C8,2,#YRGUQP9C8,THANOS,15
3,#GC22C0G2,Raven,14,3,100,#98V2PGG82,4,#98V2PGG82,dangerous,15
4,#202PU202,Brian,14,3,100,#PURQP0PGG,5,#PURQP0PGG,saymon,14
8,#LL292PRC0,yishun,15,3,100,#8GPVLYV8,6,#8GPVLYV8,AlexR1899,13
9,#20VJ9V0UY,3Hours,13,3,100,#QQPQPQYC2,8,#QQPQPQYC2,yash,15
10,#RP99QCPG,Shinikigami,13,3,100,#9U02QPUUP,12,#9U02QPUUP,sabbir 41,13
11,#QCP0PPYU,我家MYHOUSE,13,3,100,#PRYC09228,14,#PRYC09228,Danger man,14
12,#JV09YLLV,SacredX,13,2,77,#9CR9Y2JPR,16,#9CR9Y2JPR,M.B Masum,14
14,#2RYGYL9G,Podeido,12,1,99,#9JRYCLPCJ,24,#9JRYCLPCJ,MASUM IYI ™,13
15,#QCJVJRUCJ,Mr. Tess,12,0,0,,30,#LG0VPR2R8,OP MAHIN√,13
16,#G82CYGJU8,harbourfront,12,2,92,#9GLYGRVGL,34,#9GLYGRVGL,RaihanAhmed,12
17,#9QJPVYC0,tengah,12,1,92,#P80CPURUP,40,#P80CPURUP,FIGHTER B SAKIB,12
20,#8CJ9Y2RJU,RaveN,12,3,100,#PRYRGQJGU,43,#PRYRGQJGU,@sufean@,12
21,#G8CCCG0Q9,woofwentdog,12,3,100,#P8C9G2L0L,45,#P8C9G2L0L,M.B Billah,12
