Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,1,54,#L8P9LGRJG,1,#L8P9LGRJG,ㄚㄚㄚㄚㄚㄚ,15
2,#Y2YQ8P0Q9,lunatic,14,1,76,#9QCCLVP9,2,#9QCCLVP9,Matthias,15
3,#GC22C0G2,Raven,14,2,81,#L28Y2C89P,3,#L28Y2C89P,煎包的兒子,14
4,#202PU202,Brian,14,3,100,#2P9R8JJU0,4,#2P9R8JJU0,米蟲打工仔,14
5,#29J2GYLC,®️lunatic®️,15,3,100,#200RJPGC0,5,#200RJPGC0,ZDan,13
6,#20CL2LQG,Lee Hsien Loong,14,2,78,#80R9V8V8Q,6,#80R9V8V8Q,土斤,13
7,#982J0Q9J,✨MVP✨,14,0,0,,7,#88RJR8RQQ,•＿•,13
8,#20VJ9V0UY,3Hours,13,3,100,#80J9CR89V,8,#80J9CR89V,一個路過的哈草戰士,13
9,#LL292PRC0,yishun,15,2,91,#G09GU2UCC,10,#G09GU2UCC,伊伊,12
10,#QCP0PPYU,我家MYHOUSE,13,3,100,#PUG9YRUUU,11,#PUG9YRUUU,基頭歪一邊,12
11,#RP99QCPG,Shinikigami,13,3,100,#LJPJLU02,13,#LJPJLU02,jonathan,12
13,#JV09YLLV,SacredX,13,3,100,#9P98LJV98,14,#9P98LJV98,殲滅者1世,12
14,#2RYGYL9G,Podeido,12,3,100,#PJ8RG2829,15,#PJ8RG2829,麋麋,12
15,#QCJVJRUCJ,Mr. Tess,12,2,89,#QUQ0GV0UV,16,#QUQ0GV0UV,Tonny,12
16,#G82CYGJU8,harbourfront,12,2,99,#QCQLQ00L2,17,#QCQLQ00L2,拎刀灰咻促,12
17,#9QJPVYC0,tengah,12,3,100,#QV2Y2GLR9,18,#QV2Y2GLR9,米蟲大將軍,13
18,#8CJ9Y2RJU,RaveN,12,3,100,#G0QLL0Y2V,19,#G0QLL0Y2V,Eli,12
19,#LQ9PGUU8,我啊公家Grandpahome,12,3,100,#GPLLJY0PG,20,#GPLLJY0PG,土木打工仔,13
20,#QVQYQ2RQ8,tonytonychopper,12,3,100,#G2LVJ99CQ,21,#G2LVJ99CQ,剉1E,12
21,#JYVJCQCG,Unicorn,12,0,0,,22,#G220PYL8P,~¥~殘月~¥~,13
22,#G0GGJC99V,niconicorobin,12,3,100,#QPLJJY9QU,23,#QPLJJY9QU,KC,12
23,#VJJJVGY2,ACAP,12,3,100,#G8QYR89VU,24,#G8QYR89VU,~¥~海王~¥~,13
25,#G8CCCG0Q9,woofwentdog,12,3,100,#QVQL88Y9R,28,#QVQL88Y9R,k.wang87,11
26,#U8VRJYUC,seasaurus,12,2,62,#G82VU9PJP,29,#G82VU9PJP,炸詐Boom,11
28,#QVUU9G09P,bedok,11,3,100,#YVC98V88P,30,#YVC98V88P,安op,12
30,#QCYYJ8LLJ,我外婆家GrannyHouse,11,2,97,#YLCY2QCUG,31,#YLCY2QCUG,Alan0417,12
32,#Y282UQ80Q,Awkurtle,11,3,100,#G0099UCGU,32,#G0099UCGU,餐廳打工仔,12
33,#QVYRJYG2U,poochitaaa,11,3,100,#G8VG29J0V,33,#G8VG29J0V,fansity,11
34,#G0ULGUUR2,Sacr3dX,11,3,100,#GY92QGY29,34,#GY92QGY29,jojo,11
35,#QV0VGJ0J9,我啊妈家Grandmahaus,11,3,100,#QCCJU0LU9,42,#QCCJU0LU9,麥克雞加蛋,11
