Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,2,78,#P9JPL80UU,1,#P9JPL80UU,pagal,15
2,#Y2YQ8P0Q9,lunatic,15,2,91,#Q00VPL8UC,2,#Q00VPL8UC,randypadilla,15
3,#GC22C0G2,Raven,14,2,95,#P22CP00VY,3,#P22CP00VY,JAMES JAY.... 3,15
4,#202PU202,Brian,14,2,94,#Q20CQ0QLY,5,#Q20CQ0QLY,ASHIS,14
8,#LL292PRC0,yishun,15,2,72,#92JJ8YLPY,6,#92JJ8YLPY,Dàrk Kñ!Ght,14
9,#20VJ9V0UY,3Hours,13,1,60,#YRJPVQY02,7,#YRJPVQY02,[ Ashik ],13
10,#RP99QCPG,Shinikigami,13,1,75,#YLY9LJCG2,8,#YLY9LJCG2,ROKE,13
11,#QCP0PPYU,我家MYHOUSE,13,2,76,#9CU829QL2,9,#9CU829QL2,JAMES JAY,13
12,#JV09YLLV,SacredX,13,2,65,#Q8G82U8PC,10,#Q8G82U8PC,Ashis,13
14,#2RYGYL9G,Podeido,12,2,77,#P2PVQJGV0,11,#P2PVQJGV0,ROWDY KHILARI,13
15,#QCJVJRUCJ,Mr. Tess,12,1,53,#P9008GPCY,12,#P9008GPCY,wiz,13
16,#G82CYGJU8,harbourfront,12,1,50,#Q89R9CVC0,15,#Q89R9CVC0,Jit,12
20,#8CJ9Y2RJU,RaveN,12,1,39,#P0JQGJUV9,16,#P0JQGJUV9,PARTHA,12
21,#G8CCCG0Q9,woofwentdog,12,3,100,#9RCPV9829,17,#9RCPV9829,suman,12
26,#U8VRJYUC,seasaurus,12,1,74,#L9J2C9RQL,19,#L9J2C9RQL,Rupankar,11
