Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,14,3,100,#92G9UYUL,1,#92G9UYUL,Raver,15
2,#Y2YQ8P0Q9,lunatic,14,3,100,#9QU9PJUGP,2,#9QU9PJUGP,KONG,15
3,#GC22C0G2,Raven,14,3,100,#20VGL8029,3,#20VGL8029,#{KONG}#,15
4,#202PU202,Brian,14,3,100,#Y9UGJ0VY,4,#Y9UGJ0VY,Capten,14
5,#8LRJ2CCU8,pasirris,14,0,0,,5,#YVY8L9U,Eragon,14
6,#29J2GYLC,®️lunatic®️,15,3,100,#GQQ9YVGY,6,#GQQ9YVGY,Alboss,14
7,#20CL2LQG,Lee Hsien Loong,14,3,100,#PVUY0CVG2,7,#PVUY0CVG2,عين النسر,13
8,#982J0Q9J,✨MVP✨,14,2,79,#2RCYVJQYG,8,#2RCYVJQYG,OnnTr3x,13
9,#20VJ9V0UY,3Hours,13,3,100,#2CPGUJGCR,9,#2CPGUJGCR,Matze v7,13
11,#QCP0PPYU,我家MYHOUSE,13,1,94,#2YV0GLQ9G,10,#2YV0GLQ9G,leon2602,13
13,#LL292PRC0,yishun,14,2,99,#J2Q9V2U,11,#J2Q9V2U,Klingel,12
14,#JV09YLLV,SacredX,12,2,85,#2892VY0P8,12,#2892VY0P8,Paul,12
15,#RP99QCPG,Shinikigami,12,0,0,,13,#QR0GJCCJP,F2P COC,12
16,#2RYGYL9G,Podeido,12,3,100,#QLRVC0V0Q,14,#QLRVC0V0Q,Brei,12
17,#QCJVJRUCJ,Mr. Tess,12,2,88,#QJLC9L0R8,15,#QJLC9L0R8,stazytim,13
18,#G82CYGJU8,harbourfront,12,3,100,#QVQQ8228J,16,#QU299RYV8,Nicf2p,12
20,#9QJPVYC0,tengah,12,2,91,#QU299RYV8,19,#QVQQ8228J,SlowMo,12
21,#8CJ9Y2RJU,RaveN,12,3,100,#G2J0U0Q8Q,21,#G2J0U0Q8Q,niemand,12
23,#LQ9PGUU8,我啊公家Grandpahome,12,2,66,#JUL0J20,22,#JUL0J20,GNX 2.0,12
24,#G0GGJC99V,niconicorobin,12,3,100,#QYU8LJU98,23,#QYU8LJU98,Th1,12
25,#G8QL2L22Q,Ryewff,12,0,0,,26,#LLJCRLG88,Jolo 63,12
26,#QVQYQ2RQ8,tonytonychopper,11,3,100,#QUY00PU02,27,#QUY00PU02,Sir noob,11
27,#U8VRJYUC,seasaurus,11,3,100,#GYR0VC0VU,28,#GYR0VC0VU,Noah Kessel yt,12
28,#G8CCCG0Q9,woofwentdog,11,3,100,#LRUURCQRR,29,#LRUURCQRR,mostfa ahkera,11
29,#QCYYJ8LLJ,我外婆家GrannyHouse,11,3,100,#2R0VGJPRL,30,#2R0VGJPRL,Lalilu,11
30,#QVUU9G09P,bedok,11,2,82,#Y2JYC2YU2,32,#Y2JYC2YU2,Henixx,11
31,#Y282UQ80Q,Awkurtle,11,3,100,#2QCLC8PRY,33,#2QCLC8PRY,Gonzo,11
32,#QVYRJYG2U,poochitaaa,11,3,100,#L0Y9PURV8,35,#L0Y9PURV8,Nick,11
36,#9UQGPRLYP,Halimah Yacob,10,1,97,#G20RC08VV,36,#G20RC08VV,Seelenloser,10
38,#J9RQLJ0Q,BlackX,10,3,100,#G802CG8P9,44,#G802CG8P9,jskek,9
