Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,0,25,#98RRU9RPL,1,#98RRU9RPL,GB OWLS,15
2,#Y2YQ8P0Q9,lunatic,14,2,76,#2RGR9Y8CR,2,#2RGR9Y8CR,emerald24,15
3,#GC22C0G2,Raven,14,2,52,#8JYGLC9G0,3,#8JYGLC9G0,dark angel,15
4,#202PU202,Brian,14,2,90,#9QQYY02L9,4,#9QQYY02L9,jojo2,15
5,#29J2GYLC,®️lunatic®️,15,2,77,#YPUGGV2CV,5,#YPUGGV2CV,LEMON 84,14
6,#20CL2LQG,Lee Hsien Loong,14,2,67,#LCCP29LU8,6,#LCCP29LU8,ramelcruz18,15
7,#982J0Q9J,✨MVP✨,14,2,50,#GQL22YUL,7,#GQL22YUL,jawad,14
8,#20VJ9V0UY,3Hours,13,2,90,#V22CUV9V,8,#V22CUV9V,Eiji,14
9,#LL292PRC0,yishun,15,2,62,#9L0JPVUU0,9,#9L0JPVUU0,GULL CLARET,13
10,#QCP0PPYU,我家MYHOUSE,13,2,66,#8QRLCRCR2,10,#8QRLCRCR2,Eunoia,13
12,#JV09YLLV,SacredX,13,3,100,#LPR8PC29P,12,#LPR8PC29P,BLUEFACE,13
13,#RP99QCPG,Shinikigami,13,1,80,#290VGCUJG,13,#290VGCUJG,trebor,13
14,#2RYGYL9G,Podeido,12,2,95,#L22V02G28,14,#L22V02G28,MCLEAN HATCH,13
15,#QCJVJRUCJ,Mr. Tess,12,0,0,,15,#2C0LJ0L90,diieyen,13
16,#G82CYGJU8,harbourfront,12,1,78,#LUYRJC99P,16,#LUYRJC99P,jonnelV,13
17,#9QJPVYC0,tengah,12,1,59,#LC0J8CPUV,17,#LC0J8CPUV,jerald24,13
18,#8CJ9Y2RJU,RaveN,12,1,78,#9UJ8VUC2Y,18,#9UJ8VUC2Y,prashar saab,14
19,#LQ9PGUU8,我啊公家Grandpahome,12,1,42,#QQCCRU0P2,19,#QQCCRU0P2,sleepyhead,13
20,#QVQYQ2RQ8,tonytonychopper,12,1,45,#L998YUPLY,20,#L998YUPLY,A$CES,13
21,#JYVJCQCG,Unicorn,12,0,0,,21,#LLQ28CC8C,Destruction.ace,13
22,#G0GGJC99V,niconicorobin,12,2,73,#8RCJUQC8G,22,#8RCJUQC8G,(kulukoy),13
23,#VJJJVGY2,ACAP,12,1,66,#QP2JJ8RPR,24,#QP2JJ8RPR,jadeiy,13
25,#G8CCCG0Q9,woofwentdog,12,2,62,#LGVJCPVJC,25,#LGVJCPVJC,ALVIN™,12
26,#U8VRJYUC,seasaurus,12,2,51,#YGQVRLCU8,26,#YGQVRLCU8,PinggerekTaUlom,12
28,#QVUU9G09P,bedok,11,1,53,#28YU8RUJ2,27,#28YU8RUJ2,ELADYO,12
30,#QCYYJ8LLJ,我外婆家GrannyHouse,11,1,54,#2JV8J92C2,30,#2JV8J92C2,narenraja,12
32,#Y282UQ80Q,Awkurtle,11,2,90,#QJC0QGP2G,31,#QJC0QGP2G,Giyu,12
33,#QVYRJYG2U,poochitaaa,11,2,72,#QL9CY9JRQ,32,#QL9CY9JRQ,ziva,12
34,#G0ULGUUR2,Sacr3dX,11,1,57,#YQ0UQRVL0,35,#YQ0UQRVL0,ᴛᴏsʜɪʀᴏ❄︎,12
35,#QV0VGJ0J9,我啊妈家Grandmahaus,11,2,94,#QCVGVRJGC,36,#QCVGVRJGC,Kaido,11
