Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,3,100,#9280U08V8,1,#9280U08V8,rahul,15
2,#Y2YQ8P0Q9,lunatic,15,3,100,#9R80L2CCG,2,#9R80L2CCG,Dudeeee,14
3,#GC22C0G2,Raven,14,1,55,#28VJ0VJP0,3,#28VJ0VJP0,mohit,14
4,#202PU202,Brian,14,3,100,#J82YR2PQ,4,#J82YR2PQ,RCB,14
8,#LL292PRC0,yishun,15,2,99,#RL2CG8YC,7,#RL2CG8YC,most wanted..!,13
9,#20VJ9V0UY,3Hours,13,3,100,#9Y9CY82V9,9,#9Y9CY82V9,RUBIN,13
10,#RP99QCPG,Shinikigami,13,2,86,#QYPG8VP08,11,#QYPG8VP08,nrp,13
11,#QCP0PPYU,我家MYHOUSE,13,2,58,#LU9URU89Y,12,#LU9URU89Y,Sanjay,13
12,#JV09YLLV,SacredX,13,2,92,#Q9GC9P2Y2,16,#Q9GC9P2Y2,STA®K,13
14,#2RYGYL9G,Podeido,12,2,88,#YGR822VRC,17,#YGR822VRC,Genius Jeeva,13
15,#QCJVJRUCJ,Mr. Tess,12,1,76,#LG9G8L28,19,#LG9G8L28,Saleh RockZz,13
16,#G82CYGJU8,harbourfront,12,1,49,#92VJP9JUP,20,#92VJP9JUP,CristiaNN,13
20,#8CJ9Y2RJU,RaveN,12,2,95,#PUL8VVLYP,21,#PUL8VVLYP,AAYUSH,13
21,#G8CCCG0Q9,woofwentdog,12,2,85,#9JRCVUR2R,22,#9JRCVUR2R,HIT MAN,13
27,#U8VRJYUC,seasaurus,12,2,63,#LR9VU2JJC,25,#LR9VU2JJC,Avenger,12
