Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,0,0,,1,#YLR8Y0V28,destroyer,13
2,#Y2YQ8P0Q9,lunatic,15,3,100,#PVLUVJL2R,2,#PVLUVJL2R,ivan,13
3,#GC22C0G2,Raven,14,0,0,,3,#QPLRCLURQ,jay12,13
4,#202PU202,Brian,14,0,0,,4,#L0LR2P89J,¦°CerBEruS°¦,13
8,#LL292PRC0,yishun,15,0,0,,5,#LQUQ90YC2,ivan ll,13
9,#20VJ9V0UY,3Hours,13,3,100,#L2RRV9UYJ,6,#L2RRV9UYJ,UNKNOWN,13
10,#RP99QCPG,Shinikigami,13,0,0,,7,#2G0JU8PLR,_doderty,12
11,#QCP0PPYU,我家MYHOUSE,13,0,0,,8,#PP2CJCPJP,{☆Mark_Jade☆},12
12,#JV09YLLV,SacredX,13,0,0,,9,#LQPCR29CJ,ivan lll,12
14,#2RYGYL9G,Podeido,12,0,0,,11,#QYQJ8U2RC,¦°NoiRe¦,12
15,#QCJVJRUCJ,Mr. Tess,12,0,0,,12,#QY282QYCC,ivan IV,12
16,#G82CYGJU8,harbourfront,12,0,0,,13,#QRJPQQR9Q,¦°diablo°¦,11
20,#8CJ9Y2RJU,RaveN,12,0,0,,14,#L298JVVPC,kingsman,11
21,#G8CCCG0Q9,woofwentdog,12,0,0,,17,#QJULY29JU,jejemon,11
27,#U8VRJYUC,seasaurus,12,0,0,,21,#QRVULY8YU,mr.i,11
