Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,14,3,100,#2U292VCRV,1,#2U292VCRV,Boss,15
2,#Y2YQ8P0Q9,lunatic,14,2,73,#U088GPU2,2,#U088GPU2,SUPERCELL,15
3,#GC22C0G2,Raven,14,2,84,#28RY9PRRV,3,#28RY9PRRV,Tezz Tapi,14
4,#202PU202,Brian,14,2,83,#90LL298RV,4,#90LL298RV,Achi Bhai,14
5,#8LRJ2CCU8,pasirris,14,0,0,,5,#PYJPQC2QU,DARK WARRIER,14
6,#29J2GYLC,®️lunatic®️,15,3,100,#QLYJUUR0Q,6,#QLYJUUR0Q,marykm,15
7,#20CL2LQG,Lee Hsien Loong,14,3,100,#2YVQ08CY8,7,#2YVQ08CY8,Tazzo,13
8,#982J0Q9J,✨MVP✨,14,2,79,#88JLPGRGL,8,#88JLPGRGL,lee,13
9,#20VJ9V0UY,3Hours,13,3,100,#9QPGJY82Q,9,#9QPGJY82Q,Death Note,13
11,#QCP0PPYU,我家MYHOUSE,13,1,48,#2G809PQ9J,10,#2G809PQ9J,NYIKIA,13
13,#LL292PRC0,yishun,14,3,100,#PPQCGLV82,11,#PPQCGLV82,Mr kali,13
14,#JV09YLLV,SacredX,12,1,85,#YL080QPGU,12,#YL080QPGU,☆EAGLE EYE☆,12
15,#RP99QCPG,Shinikigami,12,2,97,#P8R008GYU,13,#P8R008GYU,AC Clan Founder,12
16,#2RYGYL9G,Podeido,12,2,97,#Y808CV0J2,14,#Y808CV0J2,Dark Devil,12
17,#G82CYGJU8,harbourfront,12,3,100,#Q8VQV9URQ,15,#Q8VQV9URQ,rfg,12
18,#QCJVJRUCJ,Mr. Tess,12,1,62,#QPCUJQLV8,16,#QPCUJQLV8,ARUSH,12
20,#9QJPVYC0,tengah,12,3,100,#PUCLUJ0P9,17,#PUCLUJ0P9,PUNI$HER,12
21,#8CJ9Y2RJU,RaveN,12,3,100,#QPPP8JQ8R,19,#QPPP8JQ8R,B2K,12
23,#LQ9PGUU8,我啊公家Grandpahome,12,3,100,#LQGV920J0,20,#LQGV920J0,dopum,12
24,#G0GGJC99V,niconicorobin,12,2,80,#P9QR889PR,21,#P9QR889PR,ASWIN,11
25,#G8QL2L22Q,Ryewff,12,0,0,,22,#L0PQR22P,Sharukh,11
26,#QVQYQ2RQ8,tonytonychopper,11,3,100,#2CJL2GJRP,23,#2CJL2GJRP,Sakura**,11
27,#U8VRJYUC,seasaurus,11,3,100,#2V9QYG9YU,24,#2V9QYG9YU,•••STAR KING•••,11
28,#G8CCCG0Q9,woofwentdog,11,2,90,#QC9VUJUR9,25,#QC9VUJUR9,CALL ME DAD,11
29,#QCYYJ8LLJ,我外婆家GrannyHouse,11,3,100,#9YJJUY8UQ,26,#9YJJUY8UQ,king abderahmen,11
30,#QVUU9G09P,bedok,11,1,88,#LVPPP2RGP,27,#LVPPP2RGP,BAKA RAVEN TO,11
31,#Y282UQ80Q,Awkurtle,11,3,100,#LUV9R8YLG,28,#LUV9R8YLG,"Ind, /Army love",11
32,#QVYRJYG2U,poochitaaa,11,3,100,#QUQP2GR89,29,#QUQP2GR89,hell boyzz,11
36,#9UQGPRLYP,Halimah Yacob,10,0,0,,32,#YC9R9GYL,aaryan,11
38,#J9RQLJ0Q,BlackX,10,0,46,#QRUYJJ0L9,33,#QRUYJJ0L9,deka864,11
