Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,3,100,#CCCJRG0L,1,#CCCJRG0L,SKY_SONIC HJ86,15
2,#Y2YQ8P0Q9,lunatic,14,2,81,#JRYJRU2J,2,#JRYJRU2J,SKY_SONIC HJ96,15
3,#GC22C0G2,Raven,14,2,82,#2Q2YPUJL,3,#2Q2YPUJL,Hasnie,15
4,#202PU202,Brian,14,2,76,#L2P89LJ0,4,#L2P89LJ0,KING BOSS 69,15
5,#29J2GYLC,®️lunatic®️,15,1,40,#YPU0RLLUU,5,#YPU0RLLUU,@NieLᵇᵒˢˢˡᵉᵍᵃᶜʸ,15
6,#20CL2LQG,Lee Hsien Loong,14,2,83,#9LLVVCL2J,6,#9LLVVCL2J,☯︎乂ﾌ丂★千|ᘜ卄ㄒ乇尺☯︎,14
7,#982J0Q9J,✨MVP✨,14,0,0,,7,#2P8C2LL9R,eqi090321,14
8,#20VJ9V0UY,3Hours,13,2,70,#8V80CVL9,8,#8V80CVL9,bangkero,14
9,#LL292PRC0,yishun,15,2,79,#289JLY0V2,9,#Y0PYQV9JV,@Niel Dfiak,14
10,#QCP0PPYU,我家MYHOUSE,13,2,69,#2Y2YQVYLP,10,#2Y2YQVYLP,( K.U.C.A.I ),13
12,#JV09YLLV,SacredX,13,2,79,#VP8JLQR2,11,#VP8JLQR2,AtyMin,13
13,#RP99QCPG,Shinikigami,13,2,64,#8L292QLG0,12,#8L292QLG0,Afiq aqeel,13
14,#2RYGYL9G,Podeido,12,2,72,#R9PRCR8L,14,#R9PRCR8L,KING’KETUM#,13
15,#QCJVJRUCJ,Mr. Tess,12,2,66,#28PUR2YQV,16,#28PUR2YQV,Zahirul7,13
16,#G82CYGJU8,harbourfront,12,3,100,#LLQ8CVUQL,17,#289JLY0V2,Ms.Delaila Jsim,13
17,#9QJPVYC0,tengah,12,1,77,#CLPC2PP2,18,#CLPC2PP2,Joker SR90,13
18,#8CJ9Y2RJU,RaveN,12,0,0,,20,#2GGQRU9CY,fazlyy,12
19,#LQ9PGUU8,我啊公家Grandpahome,12,2,83,#8PYLYRR2R,21,#8PYLYRR2R,sembrono,12
21,#QVQYQ2RQ8,tonytonychopper,12,0,49,#2PLLP2PQL,22,#2PLLP2PQL,#Mayahuda,12
23,#G0GGJC99V,niconicorobin,12,2,68,#L09CYJJUP,23,#L09CYJJUP,B.O.S.S DannY,12
24,#QQQJ8QCC9,Ghoul,13,0,0,,26,#22PPP0V0V,Harley Queen90,12
25,#G8CCCG0Q9,woofwentdog,12,2,69,#R0820J9R,27,#R0820J9R,DANNY,12
26,#U8VRJYUC,seasaurus,12,0,0,,30,#QVYJQ2C9Y,Damz_Tondekan's,12
28,#QVUU9G09P,bedok,11,0,44,#2PLLP2PQL,31,#LLQ8CVUQL,Zahirulyoe,12
30,#QCYYJ8LLJ,我外婆家GrannyHouse,11,2,74,#QPVCU0GPU,33,#QPVCU0GPU,SAMBRONO012,12
31,#Y282UQ80Q,Awkurtle,11,3,100,#QJLJYL2J8,34,#QJLJYL2J8,B.O.S.S AAIRA94,12
33,#QVYRJYG2U,poochitaaa,11,1,63,#8J0GQGJGG,35,#8J0GQGJGG,GOTHIC girl,12
34,#G0ULGUUR2,Sacr3dX,11,0,0,,36,#QCJUYUQPJ,adam kunz,11
35,#QV0VGJ0J9,我啊妈家Grandmahaus,11,2,61,#QRUCC92JL,38,#QRUCC92JL,ISAAC J SIM,11
37,#GPU8RJ9G2,rookie,10,0,0,,40,#LJYCJJYJ2,Jowell andy,11
