Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,14,2,74,#P2VU90PCL,1,#P2VU90PCL,TST❤️tonu khan,15
2,#Y2YQ8P0Q9,lunatic,14,3,100,#L2YP8J0V8,2,#L2YP8J0V8,рам мага,15
3,#GC22C0G2,Raven,14,3,100,#QPVUY22RL,3,#QPVUY22RL,patrick,15
4,#202PU202,Brian,14,2,96,#2UY200P02,4,#2UY200P02,nigth rider,14
5,#8LRJ2CCU8,pasirris,14,0,0,,5,#Y2J9PQ8CL,Don Muhibul,14
6,#29J2GYLC,®️lunatic®️,15,2,88,#Y2J9PQ8CL,6,#9Q9U0Q0R8,Selim,14
7,#20CL2LQG,Lee Hsien Loong,14,0,0,,7,#8QJJ8GRJQ,A H Alvi,14
8,#982J0Q9J,✨MVP✨,14,2,59,#2VLLR0GYQ,8,#2VLLR0GYQ,uiu,14
9,#20VJ9V0UY,3Hours,13,1,96,#QL098JQ08,9,#QL098JQ08,RAIHAN.SAMSUNG,15
11,#QCP0PPYU,我家MYHOUSE,13,2,68,#QL9PVCVQU,10,#QL9PVCVQU,Don’tCare,15
13,#LL292PRC0,yishun,14,3,100,#G22VYJRV2,11,#QGGGPGCUC,sofikul,15
14,#JV09YLLV,SacredX,12,2,73,#8LYCPVPRL,12,#8LYCPVPRL,taps,13
15,#RP99QCPG,Shinikigami,12,2,67,#QLQRLLJ8Q,13,#QLQRLLJ8Q,AK47,14
16,#2RYGYL9G,Podeido,12,3,100,#QCGPJYUVQ,14,#QCGPJYUVQ,kretoss,14
17,#QCJVJRUCJ,Mr. Tess,12,2,73,#G0YV2RYY9,17,#G0YV2RYY9,King star city,13
18,#G82CYGJU8,harbourfront,12,3,100,#G0PC0Q2CR,18,#G20URPCQC,ALYENCITY,13
20,#9QJPVYC0,tengah,12,1,76,#QC0QJPYLU,19,#QC0QJPYLU,Suplex city,13
21,#8CJ9Y2RJU,RaveN,12,2,66,#QVPQ0G8P2,20,#QVPQ0G8P2,Unnamed,13
23,#LQ9PGUU8,我啊公家Grandpahome,12,2,71,#QGYJVG0V2,21,#QGYJVG0V2,Camila Angle,13
24,#G0GGJC99V,niconicorobin,12,0,36,#QGJJVUVC9,22,#QGJJVUVC9,Emma EF,14
25,#G8QL2L22Q,Ryewff,12,0,0,,23,#QLLGU8GP9,Flora Rose,13
26,#QVQYQ2RQ8,tonytonychopper,11,1,53,#Q9J2VLYL2,24,#Q9J2VLYL2,MD_Rayhan,12
27,#U8VRJYUC,seasaurus,11,1,76,#QLLQL02Y8,26,#QLLQL02Y8,GIANNA USA,13
28,#G8CCCG0Q9,woofwentdog,11,2,71,#QUGQP0PCR,29,#QUGQP0PCR,sahik,13
29,#QCYYJ8LLJ,我外婆家GrannyHouse,11,1,83,#QY0Y0PYVR,30,#QY0Y0PYVR,Charlotte,12
30,#QVUU9G09P,bedok,11,1,70,#G99JP2LU2,31,#G99JP2LU2,fffff,13
31,#Y282UQ80Q,Awkurtle,11,2,87,#QJ20UR9RP,32,#QJ20UR9RP,Drogon king,12
32,#QVYRJYG2U,poochitaaa,11,3,100,#QP8PYUPLQ,33,#QP8PYUPLQ,Winner Woman,12
36,#9UQGPRLYP,Halimah Yacob,10,0,0,,39,#G0PC0Q2CR,Toing,11
38,#J9RQLJ0Q,BlackX,10,0,40,#G22VYJRV2,42,#G22VYJRV2,maruf,11
