Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,14,2,80,#LCGLVLJJL,1,#LCGLVLJJL,Đại Gia Bảo’s,15
2,#Y2YQ8P0Q9,lunatic,14,3,100,#U0QCLLRR,2,#U0QCLLRR,Long Dau,14
3,#GC22C0G2,Raven,14,3,100,#8L8PC88RC,3,#8L8PC88RC,dung kunkka,14
4,#202PU202,Brian,14,2,98,#QLG8CU0P,4,#QLG8CU0P,tomo,14
5,#8LRJ2CCU8,pasirris,14,0,0,,5,#9CRLLU08V,meliodas,13
6,#29J2GYLC,®️lunatic®️,15,3,100,#YJCRC2QV2,6,#YJCRC2QV2,Duy Blue,13
7,#20CL2LQG,Lee Hsien Loong,14,3,100,#LYR8CQY8V,7,#LYR8CQY8V,Qui Rùa,14
8,#982J0Q9J,✨MVP✨,14,2,83,#QG920R0P8,8,#QG920R0P8,việt johan,13
9,#20VJ9V0UY,3Hours,13,3,100,#QCCG2RGY0,9,#QCCG2RGY0,nguoimoiii,14
11,#QCP0PPYU,我家MYHOUSE,13,3,100,#L9J2RVC0V,10,#L9J2RVC0V,Repair,12
12,#LL292PRC0,yishun,14,3,100,#YQRJ92UVG,11,#YQRJ92UVG,kimcuong142,13
14,#JV09YLLV,SacredX,12,3,100,#G9QPUCY0Q,12,#G9QPUCY0Q,lov32ss,14
15,#RP99QCPG,Shinikigami,12,3,100,#980GQU9VP,13,#980GQU9VP,Minh Nguyễn,14
16,#2RYGYL9G,Podeido,12,3,100,#G0P9U0V02,14,#G0P9U0V02,ductuanjr,14
17,#QCJVJRUCJ,Mr. Tess,12,3,100,#QGYG8RP2C,16,#QGYG8RP2C,sonchan,13
18,#G82CYGJU8,harbourfront,12,3,100,#QYU980QVC,17,#QYU980QVC,Kevin,12
20,#9QJPVYC0,tengah,12,3,100,#G0QPRQVYP,18,#G0QPRQVYP,dung142,12
21,#8CJ9Y2RJU,RaveN,12,3,100,#G2PG0CUGJ,19,#G2PG0CUGJ,ductuanjr1,13
23,#LQ9PGUU8,我啊公家Grandpahome,12,3,100,#P0CG2V8GV,20,#P0CG2V8GV,Yanzkie,12
24,#G0GGJC99V,niconicorobin,12,2,88,#G9VGP20RQ,21,#G9VGP20RQ,Dh1333,12
25,#G8QL2L22Q,Ryewff,12,0,0,,23,#G2JUCUJCL,berto,13
26,#QVQYQ2RQ8,tonytonychopper,11,2,54,#QV9VQVCGU,25,#QV9VQVCGU,HoangMinh,11
27,#U8VRJYUC,seasaurus,11,2,90,#QCVPGCQYU,27,#QCVPGCQYU,Tuấn Kiệt,11
28,#G8CCCG0Q9,woofwentdog,11,3,100,#G9JCY822G,28,#G9JCY822G,nhatdu,11
29,#QCYYJ8LLJ,我外婆家GrannyHouse,11,3,100,#G2RP0CCJY,29,#G2RP0CCJY,kiệt,11
30,#QVUU9G09P,bedok,11,3,100,#G0V2JVCJ2,30,#G0V2JVCJ2,tuệ mẫn,11
31,#Y282UQ80Q,Awkurtle,11,3,100,#QUU2QL82L,31,#QUU2QL82L,tunmom,11
32,#QVYRJYG2U,poochitaaa,11,3,100,#QC8RQ0Y2Y,32,#QC8RQ0Y2Y,#Xoàiii,11
36,#9UQGPRLYP,Halimah Yacob,10,0,0,,35,#QYLVJGVYC,phamdung,11
38,#J9RQLJ0Q,BlackX,11,1,68,#G00889YR0,36,#G00889YR0,Văn Thịnh,11
