Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,14,1,80,#8P8GGY2VJ,1,#8P8GGY2VJ,Revierin,14
2,#Y2YQ8P0Q9,lunatic,14,3,100,#8YJY09VUY,3,#8YJY09VUY,@ ACUSAR @,14
3,#GC22C0G2,Raven,14,3,100,#PLG280CJU,4,#PLG280CJU,Mishel_16,14
4,#202PU202,Brian,14,3,100,#8GR8LPJPR,5,#8GR8LPJPR,Revin,13
5,#8LRJ2CCU8,pasirris,14,0,0,,6,#Y2L0PCCUL,QUEEN❤️GLEM,13
6,#29J2GYLC,®️lunatic®️,15,3,100,#Y2L0PCCUL,7,#PQVVPP8QG,SDrio,13
7,#20CL2LQG,Lee Hsien Loong,14,3,100,#QJR882G90,8,#QJR882G90,S.Bikesh sha,14
8,#982J0Q9J,✨MVP✨,14,2,92,#QGGQ2UULQ,9,#QGGQ2UULQ,B smriti sha,14
9,#20VJ9V0UY,3Hours,13,3,100,#QYV8RRUR8,10,#QYV8RRUR8,@acusar@,13
11,#QCP0PPYU,我家MYHOUSE,13,2,86,#LQC28GQVY,11,#LQC28GQVY,@ACUSAR@,13
13,#LL292PRC0,yishun,14,3,100,#QRPPPPJQ2,12,#QRPPPPJQ2,PIRATE ☠KING,12
14,#JV09YLLV,SacredX,12,1,79,#QPY2CQGP9,13,#QPY2CQGP9,@ACUSAR@,12
15,#RP99QCPG,Shinikigami,12,3,100,#QQCQY9GPP,14,#QQCQY9GPP,@ACUSAR@,12
16,#2RYGYL9G,Podeido,12,3,100,#Q9GVJ9GRR,15,#Q9GVJ9GRR,@ACUSAR@,12
17,#QCJVJRUCJ,Mr. Tess,12,3,100,#G0YUUUCVG,19,#G0YUUUCVG,Bikesh101,12
18,#G82CYGJU8,harbourfront,12,3,100,#QJJGUJL8U,20,#QJJGUJL8U,@ACUSAR@,11
20,#9QJPVYC0,tengah,12,3,100,#QVR0UVVL8,22,#QVR0UVVL8,kavin,11
21,#8CJ9Y2RJU,RaveN,12,3,100,#QRQY988JY,23,#QRQY988JY,Zero 2,11
23,#LQ9PGUU8,我啊公家Grandpahome,12,3,100,#QQGV8GYG9,24,#QQGV8GYG9,Agnes v. Vasque,11
24,#G0GGJC99V,niconicorobin,12,3,100,#QPYRJUUG9,26,#QPYRJUUG9,Cuses,10
25,#G8QL2L22Q,Ryewff,12,0,0,,27,#G9VVLJC8Y,Keycee,10
26,#QVQYQ2RQ8,tonytonychopper,11,3,100,#QULRP8LC8,28,#QULRP8LC8,Darknights,10
27,#U8VRJYUC,seasaurus,11,3,100,#QRJRV98CL,31,#QRJRV98CL,julius 2.0,11
28,#G8CCCG0Q9,woofwentdog,11,3,100,#QURU2Y0VJ,32,#QURU2Y0VJ,cotonton,10
29,#QCYYJ8LLJ,我外婆家GrannyHouse,11,3,100,#G8QYLVLU2,34,#G8QYLVLU2,Rainbow,10
30,#QVUU9G09P,bedok,11,3,100,#QV8U9RLJP,35,#QV8U9RLJP,BO PAING3,11
31,#Y282UQ80Q,Awkurtle,11,3,100,#QGYJYRVCL,36,#QGYJYRVCL,P&E,10
32,#QVYRJYG2U,poochitaaa,11,3,100,#L0G9Q2JCP,40,#L0G9Q2JCP,diego,10
36,#9UQGPRLYP,Halimah Yacob,10,0,21,#G2VJQGCP0,41,#G2VJQGCP0,ken,10
38,#J9RQLJ0Q,BlackX,10,3,100,#GYY9JVLL8,43,#GYY9JVLL8,shy,10
