Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,2,93,#V0VLLGQQ,1,#V0VLLGQQ,gcn,15
2,#Y2YQ8P0Q9,lunatic,14,3,100,#U2PP2JUQ,2,#U2PP2JUQ,galo 2,14
3,#GC22C0G2,Raven,14,2,93,#2UU9C0V0L,3,#2UU9C0V0L,galo 1,14
4,#202PU202,Brian,14,3,100,#8UL2LG9QG,4,#8UL2LG9QG,galo 3,14
5,#29J2GYLC,®️lunatic®️,15,3,100,#2JY9VCVUC,5,#2JY9VCVUC,iSr223Jr ⚡️,14
6,#20CL2LQG,Lee Hsien Loong,14,2,82,#JYLJGRQU,6,#JYLJGRQU,ROCKGAMER,15
7,#982J0Q9J,✨MVP✨,14,1,52,#98PJPYCP2,7,#98PJPYCP2,killer,14
8,#20VJ9V0UY,3Hours,13,1,60,#PJP890JCQ,8,#PJP890JCQ,Lord Braichu,14
9,#LL292PRC0,yishun,15,2,87,#LJJC2UC0J,9,#LJJC2UC0J,galo 4,13
10,#QCP0PPYU,我家MYHOUSE,13,2,69,#PJL92PLUY,10,#PJL92PLUY,PAISA VERDOLAGA,13
12,#JV09YLLV,SacredX,13,1,60,#P8J92R9Q,11,#P8J92R9Q,SERCH,13
13,#RP99QCPG,Shinikigami,13,2,73,#288CPR2QV,12,#288CPR2QV,Norman Z,13
14,#2RYGYL9G,Podeido,12,2,72,#2CJ9C08R,13,#2CJ9C08R,sergi,13
15,#QCJVJRUCJ,Mr. Tess,12,0,0,,14,#U228G2Q0,LMGRCaVi,13
16,#G82CYGJU8,harbourfront,12,1,62,#2QGPVPRR8,15,#2Q8GCV2LC,AndresLeon1998,13
17,#9QJPVYC0,tengah,12,0,0,,17,#82CGY92JR,-KingEnzo,13
18,#8CJ9Y2RJU,RaveN,12,1,76,#8LPRVLR82,19,#8LPRVLR82,maravillas,13
19,#LQ9PGUU8,我啊公家Grandpahome,12,1,74,#9U2P98Y2U,21,#9U2P98Y2U,玄 ⦙AKZIN,13
20,#QVQYQ2RQ8,tonytonychopper,12,2,86,#882VJY09P,22,#882VJY09P,RAYDEN,13
21,#JYVJCQCG,Unicorn,12,0,0,,23,#2YCG9RQL,DANTE,13
22,#G0GGJC99V,niconicorobin,12,2,60,#9LUVGPQP8,24,#9LUVGPQP8,Oscar :v,13
23,#VJJJVGY2,ACAP,12,0,0,,25,#LP2RVCYQ0,MATHEUZINHO BR,13
25,#G8CCCG0Q9,woofwentdog,12,2,77,#VGRRC0PC,28,#VGRRC0PC,⚡GHOST KILLER⚡,12
26,#U8VRJYUC,seasaurus,12,2,57,#8JPPCVRV0,29,#8JPPCVRV0,Yoel,12
28,#QVUU9G09P,bedok,11,0,0,,30,#2QGPVPRR8,Frank,13
30,#QCYYJ8LLJ,我外婆家GrannyHouse,11,1,47,#L9R00QQ9C,32,#L9R00QQ9C,king,12
31,#Y282UQ80Q,Awkurtle,11,2,72,#L2GVRJPRR,36,#L2GVRJPRR,kandre,12
33,#QVYRJYG2U,poochitaaa,11,3,100,#QCLJ2ULYU,37,#QCLJ2ULYU,galo 5,11
34,#G0ULGUUR2,Sacr3dX,11,2,78,#QJ2V0LP0R,38,#QJ2V0LP0R,galo 6,11
35,#QV0VGJ0J9,我啊妈家Grandmahaus,11,2,56,#QJJLU8YQU,39,#QJJLU8YQU,DANNA,11
