Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,2,63,#28C8LPLUV,1,#28C8LPLUV,raizenx41,15
2,#Y2YQ8P0Q9,lunatic,14,2,74,#PJGQJQJ2,2,#PJGQJQJ2,MJCSquishy,15
3,#GC22C0G2,Raven,14,2,56,#80989G8Y,3,#80989G8Y,Max Power,15
4,#202PU202,Brian,14,2,76,#JU8RPPVU,4,#JU8RPPVU,Southern CT,15
5,#29J2GYLC,®️lunatic®️,15,1,41,#2988QQQRG,5,#2988QQQRG,ROCKSTAR VJ,15
7,#982J0Q9J,✨MVP✨,14,2,64,#RU2LLY9G,6,#RU2LLY9G,Batchpig,15
8,#20VJ9V0UY,3Hours,13,0,34,#CQP2Y9LR,7,#CQP2Y9LR,akh84,15
9,#LL292PRC0,yishun,15,1,35,#9LVJJJYQ,8,#9LVJJJYQ,smartnav,15
10,#QCP0PPYU,我家MYHOUSE,13,0,46,#88PQYRPU,9,#88PQYRPU,Prof Dr. Rahul,15
12,#RP99QCPG,Shinikigami,13,1,40,#2PQ08UPG0,11,#2PQ08UPG0,ChocoChoo,15
13,#JV09YLLV,SacredX,13,0,34,#2UU0RQGCJ,12,#2UU0RQGCJ,ASHAY MISHRA,15
14,#2RYGYL9G,Podeido,12,1,61,#2JUC202V,13,#2JUC202V,MouseCaudle,15
15,#QCJVJRUCJ,Mr. Tess,12,1,42,#CV9VGYG,15,#CV9VGYG,madgame,15
16,#G82CYGJU8,harbourfront,12,2,64,#999LGU0C0,16,#999LGU0C0,kuzzoo88,15
17,#9QJPVYC0,tengah,12,0,41,#9LYGJJGL,17,#9LYGJJGL,GODSIZE,14
18,#8CJ9Y2RJU,RaveN,12,0,28,#89V800PG9,19,#89V800PG9,Knot Stable,14
19,#LQ9PGUU8,我啊公家Grandpahome,12,1,51,#QQ0JJCPLQ,20,#QQ0JJCPLQ,reds11,15
22,#QVQYQ2RQ8,tonytonychopper,12,2,58,#Y9GGYJ98,22,#Y9GGYJ98,flame8888,14
23,#G0GGJC99V,niconicorobin,12,2,62,#QRC2GCJU,23,#QRC2GCJU,Sport,15
24,#U8VRJYUC,seasaurus,12,0,32,#8P2QYQ0RV,24,#8P2QYQ0RV,GOBLIN WIZARD,14
25,#QQQJ8QCC9,Ghoul,13,0,0,,25,#LQU9GLCUQ,CytricSupreme,14
26,#G8QL2L22Q,Ryewff,12,0,0,,27,#2PVUYUQ98,POWER,14
27,#QVUU9G09P,bedok,11,0,37,#8YC90Q8VQ,28,#8YC90Q8VQ,SLAYTANIC,14
29,#G8CCCG0Q9,woofwentdog,12,1,52,#PUQJCYRR,29,#PUQJCYRR,Colin,13
30,#QCYYJ8LLJ,我外婆家GrannyHouse,11,1,47,#8CUL0QUPQ,30,#8CUL0QUPQ,aung that,13
31,#Y282UQ80Q,Awkurtle,11,0,47,#P0LVQVRCQ,31,#P0LVQVRCQ,Jack Frost,13
33,#QVYRJYG2U,poochitaaa,11,0,45,#QPR8CQPQP,32,#QPR8CQPQP,Eman,13
34,#G0ULGUUR2,Sacr3dX,11,0,28,#Q22R00PQ0,33,#Q22R00PQ0,☠️THANOS☠️,13
35,#QV0VGJ0J9,我啊妈家Grandmahaus,11,1,45,#LUQU9JGQ8,36,#LUQU9JGQ8,brimley,13
37,#GPU8RJ9G2,rookie,10,0,0,,37,#Y2GPGQYUY,The Tin-man,13
