Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,0,0,,1,#LC29PC220,Byrron,15
2,#Y2YQ8P0Q9,lunatic,15,2,96,#99JRCPGR,2,#99JRCPGR,Mountains2030,15
3,#GC22C0G2,Raven,14,2,57,#9CVU2VC0C,3,#9CVU2VC0C,DrHanson,15
4,#202PU202,Brian,14,2,94,#9GCVPRC9,4,#9GCVPRC9,nique1357,15
8,#LL292PRC0,yishun,15,2,82,#90QJ9GJQ,5,#J8CLYLL8,stevo/210,15
9,#20VJ9V0UY,3Hours,13,1,65,#2YQ8909RG,6,#2YQ8909RG,Cooper,15
10,#RP99QCPG,Shinikigami,13,1,43,#8CPG9UCJ2,7,#8CPG9UCJ2,DaniloGR16,15
11,#QCP0PPYU,我家MYHOUSE,13,0,46,#9Q2CY82R,8,#9Q2CY82R,Thoma,15
12,#JV09YLLV,SacredX,13,1,40,#YV0CGLQR,10,#YV0CGLQR,edmond,14
14,#2RYGYL9G,Podeido,12,2,54,#2G8UCC0QL,11,#2G8UCC0QL,Aquarius958,14
15,#QCJVJRUCJ,Mr. Tess,12,0,46,#YPL82C9JY,12,#YPL82C9JY,RËVËÑÄÑT HŸPË,14
16,#G82CYGJU8,harbourfront,12,1,45,#J8CLYLL8,15,#90QJ9GJQ,æ dude,14
20,#8CJ9Y2RJU,RaveN,12,2,53,#Y9CGGQJU,17,#Y9CGGQJU,Dr. Moreau,13
21,#G8CCCG0Q9,woofwentdog,12,2,53,#J0GUUL9Q,18,#J0GUUL9Q,White Eagle,13
26,#U8VRJYUC,seasaurus,12,1,48,#PG82VPY9Q,21,#PG82VPY9Q,JYE 2.0,13
