Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,14,3,100,#PU0JPQ9J,1,#PU0JPQ9J,Barrracuda,15
2,#Y2YQ8P0Q9,lunatic,14,3,100,#2JGY9P0C8,2,#2JGY9P0C8,tachenko,15
3,#GC22C0G2,Raven,14,2,81,#2GQPG2UJ,3,#2GQPG2UJ,Camaxtli,15
4,#202PU202,Brian,14,3,100,#8CQLY2GU,4,#8CQLY2GU,Usagi,15
5,#8LRJ2CCU8,pasirris,14,0,0,,5,#GC8UVQ28,faby,15
6,#29J2GYLC,®️lunatic®️,15,1,69,#YC9C8020,7,#YC9C8020,vladi,15
7,#20CL2LQG,Lee Hsien Loong,14,0,0,,8,#YYPR0L2UY,samila,15
8,#982J0Q9J,✨MVP✨,14,0,0,,9,#89QQ9U00P,lucha,15
9,#20VJ9V0UY,3Hours,13,2,81,#2J9CPC0UR,10,#2J9CPC0UR,CALAVERAS,15
11,#QCP0PPYU,我家MYHOUSE,13,1,57,#8PUR899CJ,11,#8PUR899CJ,lean2,15
12,#LL292PRC0,yishun,14,0,0,,12,#9CV9LQ98L,diedevil2,15
14,#JV09YLLV,SacredX,12,0,0,,13,#PPL2RRVVQ,jai,15
15,#RP99QCPG,Shinikigami,12,1,57,#LG2PQRC89,14,#LG2PQRC89,WJRE69,14
16,#2RYGYL9G,Podeido,12,2,62,#C8LQ88GG,15,#C8LQ88GG,TEMPLA,13
17,#QCJVJRUCJ,Mr. Tess,12,2,81,#2LGCV0UVP,18,#2LGCV0UVP,Juank I,13
18,#G82CYGJU8,harbourfront,12,0,0,,19,#YJPRP28UQ,Megumin,13
20,#9QJPVYC0,tengah,12,0,0,,20,#2LQV00LJL,YEISONED29,13
21,#8CJ9Y2RJU,RaveN,12,0,0,,23,#2CCQJCYQL,Santiago,13
23,#LQ9PGUU8,我啊公家Grandpahome,12,0,45,#9V0GRURVC,24,#9V0GRURVC,_DELTA_$,13
24,#G0GGJC99V,niconicorobin,12,0,0,,25,#YPYJL2YPJ,milako,13
25,#G8QL2L22Q,Ryewff,12,0,0,,27,#LG0JPQRQV,Dark_cerci,13
26,#QVQYQ2RQ8,tonytonychopper,12,0,0,,28,#8LL82P8Q2,Apolo,13
27,#U8VRJYUC,seasaurus,11,1,56,#Q0RRY0PVQ,29,#Q0RRY0PVQ,JAMINCAMACHO,14
28,#G8CCCG0Q9,woofwentdog,11,1,44,#QUPCPUCY9,32,#QUPCPUCY9,zeus,13
29,#QCYYJ8LLJ,我外婆家GrannyHouse,11,2,70,#2Q2JL2PJV,33,#Y9P9LJYVV,Sasuke Uchiha,13
30,#QVUU9G09P,bedok,11,0,0,,35,#8JQP9URQ9,tomatulechitax,12
31,#Y282UQ80Q,Awkurtle,11,2,74,#2Q2JL2PJV,37,#2Q2JL2PJV,Dark+Agus,12
32,#QVYRJYG2U,poochitaaa,11,2,88,#P2U2Y8G,38,#P2U2Y8G,carfer,12
36,#J9RQLJ0Q,BlackX,11,1,55,#L2YUVGC82,40,#9LJPLJL00,Alex,12
37,#9UQGPRLYP,Halimah Yacob,10,0,0,,45,#L2YUVGC82,DHANUSH .VICKY,12
